timestamp,spm72_wm2,image,spm72_status,emi_timestamp,time_difference_s,node_id,temp_front,temp_rear,temp_pv_bifacial,current_front,current_rear,bme_temperature,bme_humidity,bme_pressure,arduino_uptime
2026-08-24T09:03:28.000Z,716.0,series/20260824_120328/20260824_120328.jpg,VALID,2026-08-24T09:03:28.737Z,0.737,1,51.75,46.5,26.25,68.5,115.0,25.82,51.59,1002.3,310
2026-08-24T09:03:58.000Z,714.0,series/20260824_120328/20260824_120358.jpg,VALID,2026-08-24T09:03:58.938Z,0.938,1,51.25,46.25,26.25,68.5,115.3,25.8,51.11,1002.3,340
2026-08-24T09:04:28.000Z,713.0,series/20260824_120328/20260824_120428.jpg,VALID,2026-08-24T09:04:28.716Z,0.716,1,50.75,46.0,26.25,68.3,115.0,26.02,51.38,1002.3,365
2026-08-24T09:04:58.000Z,713.0,series/20260824_120328/20260824_120458.jpg,VALID,2026-08-24T09:04:58.723Z,0.723,1,50.5,46.0,26.5,68.19,114.7,26.26,50.53,1002.2,395
2026-08-24T09:05:28.000Z,715.0,series/20260824_120328/20260824_120528.jpg,VALID,2026-08-24T09:05:28.732Z,0.732,1,50.0,46.0,26.5,68.3,115.1,26.18,51.41,1002.2,425
2026-08-24T09:05:58.000Z,715.0,series/20260824_120328/20260824_120558.jpg,VALID,2026-08-24T09:05:58.741Z,0.741,1,49.75,46.0,26.25,68.6,115.4,26.28,51.1,1002.2,455
2026-08-24T09:06:58.000Z,718.0,series/20260824_120328/20260824_120658.jpg,VALID,2026-08-24T09:06:58.751Z,0.751,1,49.25,46.0,27.0,68.5,115.7,27.5,50.14,1002.2,515
2026-08-24T09:07:28.000Z,719.0,series/20260824_120328/20260824_120728.jpg,VALID,2026-08-24T09:07:28.758Z,0.758,1,49.25,46.25,27.25,68.8,116.0,28.03,49.12,1002.2,545
2026-08-24T09:07:58.000Z,717.0,series/20260824_120328/20260824_120758.jpg,VALID,2026-08-24T09:07:58.763Z,0.763,1,49.25,46.75,27.5,68.6,115.8,28.66,48.04,1002.2,575
2026-08-24T09:08:28.000Z,719.0,series/20260824_120328/20260824_120828.jpg,VALID,2026-08-24T09:08:28.773Z,0.773,1,49.5,47.25,27.75,68.9,116.2,29.02,48.12,1002.1,605
2026-08-24T09:08:58.000Z,718.0,series/20260824_120328/20260824_120858.jpg,VALID,2026-08-24T09:08:58.781Z,0.781,1,50.0,47.75,27.75,68.9,116.1,28.19,48.52,1002.1,635
2026-08-24T09:09:28.000Z,719.0,series/20260824_120328/20260824_120928.jpg,VALID,2026-08-24T09:09:28.789Z,0.789,1,50.25,48.0,27.75,69.1,116.3,28.02,48.74,1002.2,665
2026-08-24T09:09:58.000Z,721.0,series/20260824_120328/20260824_120958.jpg,VALID,2026-08-24T09:09:58.796Z,0.796,1,50.5,48.25,27.75,68.9,116.2,27.92,48.88,1002.1,695
2026-08-24T09:10:28.000Z,720.0,series/20260824_120328/20260824_121028.jpg,VALID,2026-08-24T09:10:28.805Z,0.805,1,50.5,48.5,27.75,68.9,116.2,28.21,48.3,1002.1,725
2026-08-24T09:10:58.000Z,722.0,series/20260824_120328/20260824_121058.jpg,VALID,2026-08-24T09:10:58.811Z,0.811,1,50.75,48.75,28.0,69.1,116.5,28.31,48.4,1002.1,755
2026-08-24T09:11:28.000Z,723.0,series/20260824_120328/20260824_121128.jpg,VALID,2026-08-24T09:11:28.820Z,0.820,1,51.0,49.0,28.25,69.19,116.8,28.95,47.13,1002.1,785
2026-08-24T09:11:58.000Z,722.0,series/20260824_120328/20260824_121158.jpg,VALID,2026-08-24T09:11:58.827Z,0.827,1,51.25,49.5,28.5,69.1,116.7,29.14,47.89,1002.1,815
2026-08-24T09:12:28.000Z,724.0,series/20260824_120328/20260824_121228.jpg,VALID,2026-08-24T09:12:28.835Z,0.835,1,51.5,50.0,28.5,69.4,117.2,28.93,47.96,1002.0,845
