series_id,n_raw_rows,n_eligible_pairs,pair_fraction_pct,SPM72_min_Wm2,SPM72_max_Wm2,PV_Rear_min,PV_Rear_max,pearson_r,spearman_rho,sync_abs_median_s,sync_abs_max_s,sync_within_tolerance_pct,duration_s,median_interval_s,max_gap_s,n_gaps_over_60s
20260820_091508,98,98,100.0,335.0,489.0,61.6,84.3,0.9971662857062035,0.9993942834924634,1.3795,7.772,100.0,2910.0,30.0,30.0,0
20260820_114939,109,109,100.0,61.0,791.0,113.6,123.5,0.39227480153259775,0.966347814945779,2.505,8.325,100.0,3361.0,30.0,60.0,0
20260820_151336,231,231,100.0,72.0,756.0,12.7,118.4,0.9927067067199874,0.9936721616030556,3.948,5.556,100.0,7141.0,30.0,60.0,0
20260821_100631,143,143,100.0,464.0,601.0,74.9,94.6,0.9966004128169553,0.994426463990271,4.651,4.997,100.0,4351.0,30.0,60.0,0
20260821_115655,164,164,100.0,657.0,702.0,102.0,110.3,0.9917985911753316,0.9933220424864743,3.992,4.807,100.0,4951.0,30.0,60.0,0
20260821_154849,164,164,100.0,295.0,501.0,52.0,83.0,0.9985264427980883,0.9975900075092903,3.8505000000000003,5.622,100.0,4951.0,30.0,60.0,0
20260822_163702,135,135,100.0,62.0,369.0,11.2,63.7,0.9986654523174167,0.998209664547016,1.743,7.506,100.0,4081.0,30.0,60.0,0
20260824_093823,255,255,100.0,120.0,764.0,20.1,122.7,0.9965662679555292,0.9895186186844841,3.151,6.115,100.0,7742.0,30.0,60.0,0
20260824_120328,143,143,100.0,130.0,824.0,23.3,129.3,0.9707804408365607,0.9366891822395811,0.934,1.509,100.0,4321.0,30.0,60.0,0
20260824_163924,121,121,100.0,130.0,366.0,34.59,64.69,0.9807585423013488,0.9802813420805871,0.955,1.53,100.0,3631.0,30.0,60.0,0
20260824_174119,122,122,100.0,19.0,57.0,5.5,11.8,0.9946631070726651,0.9986061221041764,3.0115,7.252,100.0,3631.0,30.0,31.0,0
20260825_163306,85,85,100.0,26.0,379.0,8.7,68.1,0.7285953028842123,0.8770262317345583,2.585,7.155,100.0,3781.0,30.0,151.0,11
20260825_173650,98,98,100.0,335.0,489.0,61.6,84.3,0.9971662857062035,0.9993942834924634,1.3795,7.772,100.0,2910.0,30.0,30.0,0
