series_id,category,n_raw,n_eligible,eligible_pct,SPM72_min_Wm2,SPM72_max_Wm2,SPM72_median_Wm2,SPM72_std_Wm2,SPM72_p05_Wm2,SPM72_p95_Wm2,SPM72_delta_median_abs,SPM72_delta_p90_abs,SPM72_delta_p95_abs,SPM72_delta_max_abs,PV_Rear_min_mA,PV_Rear_max_mA,PV_Rear_median_mA,PV_Rear_std_mA,PV_Rear_delta_median_abs_mA,PV_Rear_delta_p90_abs_mA,PV_Rear_delta_p95_abs_mA,PV_Rear_delta_max_abs_mA,pearson_r,spearman_rho,start_utc,end_utc,duration_min,median_sampling_interval_s,max_gap_s,n_gaps_over_60s,sync_abs_median_s,sync_abs_p95_s,sync_abs_max_s,sync_within_tolerance_pct
20260820_091508,unknown,98,98,100.0,335.0,489.0,409.0,42.63186866115257,341.85,480.29999999999995,1.0,3.0,3.599999999999966,22.0,61.6,84.3,73.495,6.706003811019053,0.20000000000000284,0.4000000000000057,0.40200000000000374,0.5999999999999943,0.9971662857062035,0.9993942834924634,2026-08-20 06:15:08+00:00,2026-08-20 07:03:38+00:00,48.5,30.0,30.0,0,1.3795,2.3497999999999974,7.772,100.0
20260820_114939,dynamic_C1,109,109,100.0,61.0,791.0,748.0,149.0959840849794,391.20000000000005,782.2,1.0,6.0,48.64999999999982,642.0,113.6,123.5,117.8,2.5531931863497848,0.19999999999998863,0.4300000000000037,1.4000000000000057,3.299999999999997,0.39227480153259775,0.966347814945779,2026-08-20 08:49:39+00:00,2026-08-20 09:45:40+00:00,56.016666666666666,30.0,60.0,0,2.505,3.1336,8.325,100.0
20260820_151336,unknown,231,231,100.0,72.0,756.0,583.0,158.24426876755768,181.5,725.0,8.0,101.29999999999998,165.74999999999991,407.0,12.7,118.4,94.2,24.597903695537642,1.25,17.700999999999997,24.20499999999998,65.5,0.9927067067199874,0.9936721616030556,2026-08-20 12:13:36+00:00,2026-08-20 14:12:37+00:00,119.01666666666667,30.0,60.0,0,3.948,4.93,5.556,100.0
20260821_100631,unknown,143,143,100.0,464.0,601.0,547.0,40.29849475114568,474.2,597.0,2.0,6.0,7.949999999999989,19.0,74.9,94.6,87.5,5.656269015753043,0.4000000000000057,1.1899999999999897,1.2949999999999964,1.9000000000000057,0.9966004128169553,0.994426463990271,2026-08-21 07:06:31+00:00,2026-08-21 08:19:02+00:00,72.51666666666667,30.0,60.0,0,4.651,4.952999999999999,4.997,100.0
20260821_115655,unknown,164,164,100.0,657.0,702.0,684.0,11.648351234750098,660.0,695.0,2.0,5.0,5.900000000000006,8.0,102.0,110.3,106.7,1.9556465284673634,0.30000000000001137,0.8799999999999966,1.0999999999999943,1.5,0.9917985911753316,0.9933220424864743,2026-08-21 08:56:55+00:00,2026-08-21 10:19:26+00:00,82.51666666666667,30.0,60.0,0,3.992,4.7205,4.807,100.0
20260821_154849,unknown,164,164,100.0,295.0,501.0,407.0,64.69550567301407,302.15,489.0,1.0,2.0,3.0,5.0,52.0,83.0,70.3,10.067281559297141,0.20000000000000284,0.4000000000000057,0.4099999999999966,0.7999999999999972,0.9985264427980883,0.9975900075092903,2026-08-21 12:48:49+00:00,2026-08-21 14:11:20+00:00,82.51666666666667,30.0,60.0,0,3.8505000000000003,4.284649999999999,5.622,100.0
20260822_163702,unknown,135,135,100.0,62.0,369.0,275.0,100.00219455856191,65.7,359.9,2.0,63.90000000000002,117.24999999999991,174.0,11.2,63.7,46.5,16.92624215658615,0.3999999999999986,11.06000000000001,18.781499999999973,28.300000000000004,0.9986654523174167,0.998209664547016,2026-08-22 13:37:02+00:00,2026-08-22 14:45:03+00:00,68.01666666666667,30.0,60.0,0,1.743,2.4702,7.506,100.0
20260824_093823,unknown,255,255,100.0,120.0,764.0,214.0,235.86679170794815,137.0,691.0,4.0,95.80000000000007,243.04999999999998,491.0,20.1,122.7,35.09,37.8262880704602,0.5999999999999996,13.700000000000017,39.179999999999986,75.2,0.9965662679555292,0.9895186186844841,2026-08-24 06:38:23+00:00,2026-08-24 08:47:25+00:00,129.03333333333333,30.0,60.0,0,3.151,4.3098,6.115,100.0
20260824_120328,unknown,143,143,100.0,130.0,824.0,722.0,205.3858440172617,163.2,776.7,11.0,319.00000000000006,362.95,634.0,23.3,129.3,116.3,32.541192625386635,1.8000000000000007,57.97,66.29999999999998,94.80000000000001,0.9707804408365607,0.9366891822395811,2026-08-24 09:03:28+00:00,2026-08-24 10:15:29+00:00,72.01666666666667,30.0,60.0,0,0.934,1.3762,1.509,100.0
20260824_163924,unknown,121,121,100.0,130.0,366.0,254.0,65.38265306879227,156.0,357.0,2.0,3.1000000000000085,5.0,102.0,34.59,64.69,50.0,8.896035246061784,0.20000000000000284,0.4000000000000057,0.5,0.8999999999999986,0.9807585423013488,0.9802813420805871,2026-08-24 13:39:24+00:00,2026-08-24 14:39:55+00:00,60.516666666666666,30.0,60.0,0,0.955,1.297,1.53,100.0
20260824_174119,unknown,122,122,100.0,19.0,57.0,42.0,12.49152537543439,21.0,55.0,0.0,1.0,1.0,3.0,5.5,11.8,8.795,2.038936181094397,0.09999999999999964,0.10000000000000142,0.10999999999999943,0.20000000000000018,0.9946631070726651,0.9986061221041764,2026-08-24 14:41:19+00:00,2026-08-24 15:41:50+00:00,60.516666666666666,30.0,31.0,0,3.0115,3.5744000000000002,7.252,100.0
20260825_163306,local_shading,85,85,100.0,26.0,379.0,237.0,108.97748848821429,30.200000000000003,365.8,8.0,64.7,179.84999999999977,290.0,8.7,68.1,44.7,12.110704928514533,0.9549999999999983,5.652999999999998,11.204999999999998,32.099999999999994,0.7285953028842123,0.8770262317345583,2026-08-25 13:33:06+00:00,2026-08-25 14:36:07+00:00,63.016666666666666,30.0,151.0,11,2.585,3.2813999999999997,7.155,100.0
20260825_173650,unknown,98,98,100.0,335.0,489.0,409.0,42.63186866115257,341.85,480.29999999999995,1.0,3.0,3.599999999999966,22.0,61.6,84.3,73.495,6.706003811019053,0.20000000000000284,0.4000000000000057,0.40200000000000374,0.5999999999999943,0.9971662857062035,0.9993942834924634,2026-08-20 06:15:08+00:00,2026-08-20 07:03:38+00:00,48.5,30.0,30.0,0,1.3795,2.3497999999999974,7.772,100.0
