EMI Platform — preliminary series diagnostics
These diagnostics are descriptive; no automatic classification or calibration model is applied.

      series_id      category  n_raw  duration_min  SPM72_min_Wm2  SPM72_max_Wm2  SPM72_delta_p95_abs  PV_Rear_min_mA  PV_Rear_max_mA  pearson_r  spearman_rho  max_gap_s
20260820_091508       unknown     98     48.500000          335.0          489.0                 3.60           61.60           84.30   0.997166      0.999394       30.0
20260820_114939    dynamic_C1    109     56.016667           61.0          791.0                48.65          113.60          123.50   0.392275      0.966348       60.0
20260820_151336       unknown    231    119.016667           72.0          756.0               165.75           12.70          118.40   0.992707      0.993672       60.0
20260821_100631       unknown    143     72.516667          464.0          601.0                 7.95           74.90           94.60   0.996600      0.994426       60.0
20260821_115655       unknown    164     82.516667          657.0          702.0                 5.90          102.00          110.30   0.991799      0.993322       60.0
20260821_154849       unknown    164     82.516667          295.0          501.0                 3.00           52.00           83.00   0.998526      0.997590       60.0
20260822_163702       unknown    135     68.016667           62.0          369.0               117.25           11.20           63.70   0.998665      0.998210       60.0
20260824_093823       unknown    255    129.033333          120.0          764.0               243.05           20.10          122.70   0.996566      0.989519       60.0
20260824_120328       unknown    143     72.016667          130.0          824.0               362.95           23.30          129.30   0.970780      0.936689       60.0
20260824_163924       unknown    121     60.516667          130.0          366.0                 5.00           34.59           64.69   0.980759      0.980281       60.0
20260824_174119       unknown    122     60.516667           19.0           57.0                 1.00            5.50           11.80   0.994663      0.998606       31.0
20260825_163306 local_shading     85     63.016667           26.0          379.0               179.85            8.70           68.10   0.728595      0.877026      151.0
20260825_173650       unknown     98     48.500000          335.0          489.0                 3.60           61.60           84.30   0.997166      0.999394       30.0
