timestamp,spm72_wm2,image,spm72_status,emi_timestamp,time_difference_s,node_id,temp_front,temp_rear,temp_pv_bifacial,current_front,current_rear,bme_temperature,bme_humidity,bme_pressure,arduino_uptime
2026-08-24T13:39:24.000Z,366.0,series/20260824_163924/20260824_163924.jpg,VALID,2026-08-24T13:39:24.849Z,0.849,1,32.0,31.75,32.0,62.3,64.69,30.72,45.33,998.7,12040
2026-08-24T13:39:54.000Z,364.0,series/20260824_163924/20260824_163954.jpg,VALID,2026-08-24T13:39:54.859Z,0.859,1,32.75,32.5,32.75,62.2,64.6,31.16,44.56,998.6,12070
2026-08-24T13:40:24.000Z,362.0,series/20260824_163924/20260824_164024.jpg,VALID,2026-08-24T13:40:24.867Z,0.867,1,33.75,33.25,33.5,62.2,64.6,31.14,44.18,998.6,12100
2026-08-24T13:40:54.000Z,362.0,series/20260824_163924/20260824_164054.jpg,VALID,2026-08-24T13:40:54.880Z,0.880,1,34.5,34.0,34.25,62.2,64.69,31.36,43.9,998.6,12130
2026-08-24T13:41:24.000Z,361.0,series/20260824_163924/20260824_164124.jpg,VALID,2026-08-24T13:41:24.892Z,0.892,1,35.25,34.75,34.75,62.1,64.6,31.82,43.06,998.6,12160
2026-08-24T13:41:54.000Z,360.0,series/20260824_163924/20260824_164154.jpg,VALID,2026-08-24T13:41:54.905Z,0.905,1,36.0,35.5,35.25,62.2,64.69,32.07,43.07,998.6,12190
2026-08-24T13:42:24.000Z,355.0,series/20260824_163924/20260824_164224.jpg,VALID,2026-08-24T13:42:24.916Z,0.916,1,36.75,36.25,35.75,62.1,64.6,32.47,42.68,998.6,12220
2026-08-24T13:42:54.000Z,357.0,series/20260824_163924/20260824_164254.jpg,VALID,2026-08-24T13:42:54.929Z,0.929,1,37.25,36.75,36.25,61.9,64.3,32.63,42.21,998.6,12250
2026-08-24T13:43:24.000Z,354.0,series/20260824_163924/20260824_164324.jpg,VALID,2026-08-24T13:43:24.940Z,0.940,1,38.0,37.5,36.75,61.6,64.1,31.8,43.08,998.6,12280
2026-08-24T13:43:54.000Z,351.0,series/20260824_163924/20260824_164354.jpg,VALID,2026-08-24T13:43:54.953Z,0.953,1,38.5,38.0,36.75,61.3,63.6,32.08,43.02,998.6,12310
2026-08-24T13:44:24.000Z,348.0,series/20260824_163924/20260824_164424.jpg,VALID,2026-08-24T13:44:24.963Z,0.963,1,39.0,38.5,37.0,60.6,63.2,32.21,42.93,998.6,12340
2026-08-24T13:44:54.000Z,346.0,series/20260824_163924/20260824_164454.jpg,VALID,2026-08-24T13:44:54.971Z,0.971,1,39.25,39.0,37.0,60.2,62.7,32.37,43.0,998.6,12370
2026-08-24T13:45:24.000Z,344.0,series/20260824_163924/20260824_164524.jpg,VALID,2026-08-24T13:45:24.980Z,0.980,1,39.75,39.25,37.25,60.0,62.5,31.64,43.74,998.6,12400
2026-08-24T13:45:54.000Z,342.0,series/20260824_163924/20260824_164554.jpg,VALID,2026-08-24T13:45:54.991Z,0.991,1,40.0,39.5,37.25,59.7,62.2,31.64,43.93,998.6,12430
2026-08-24T13:46:24.000Z,341.0,series/20260824_163924/20260824_164624.jpg,VALID,2026-08-24T13:46:25.004Z,1.004,1,40.25,40.0,37.5,59.6,62.1,32.11,43.58,998.7,12460
2026-08-24T13:47:24.000Z,337.0,series/20260824_163924/20260824_164724.jpg,VALID,2026-08-24T13:47:25.309Z,1.309,1,40.75,40.5,38.0,34.5,61.5,32.07,42.77,998.6,12520
2026-08-24T13:47:54.000Z,335.0,series/20260824_163924/20260824_164754.jpg,VALID,2026-08-24T13:47:55.036Z,1.036,1,41.0,40.75,38.25,34.4,61.3,32.03,43.1,998.6,12545
2026-08-24T13:48:24.000Z,332.0,series/20260824_163924/20260824_164824.jpg,VALID,2026-08-24T13:48:25.048Z,1.048,1,41.25,41.0,38.5,34.09,60.9,32.18,42.76,998.6,12575
2026-08-24T13:48:54.000Z,331.0,series/20260824_163924/20260824_164854.jpg,VALID,2026-08-24T13:48:55.062Z,1.062,1,41.75,41.25,38.75,33.9,60.5,32.02,43.49,998.6,12605
2026-08-24T13:49:24.000Z,328.0,series/20260824_163924/20260824_164924.jpg,VALID,2026-08-24T13:49:25.070Z,1.070,1,42.0,41.5,39.0,33.7,60.2,32.03,43.23,998.6,12635
2026-08-24T13:49:54.000Z,326.0,series/20260824_163924/20260824_164954.jpg,VALID,2026-08-24T13:49:55.083Z,1.083,1,42.25,42.0,39.25,33.7,60.0,31.9,44.12,998.7,12665
2026-08-24T13:50:24.000Z,325.0,series/20260824_163924/20260824_165024.jpg,VALID,2026-08-24T13:50:25.098Z,1.098,1,42.25,42.25,39.5,33.5,59.8,32.06,43.67,998.6,12695
2026-08-24T13:50:54.000Z,323.0,series/20260824_163924/20260824_165054.jpg,VALID,2026-08-24T13:50:55.108Z,1.108,1,42.75,42.25,39.5,33.3,59.4,32.43,43.06,998.6,12725
2026-08-24T13:51:24.000Z,321.0,series/20260824_163924/20260824_165124.jpg,VALID,2026-08-24T13:51:25.116Z,1.116,1,42.75,42.5,39.5,33.2,59.0,32.75,42.86,998.6,12755
2026-08-24T13:51:54.000Z,319.0,series/20260824_163924/20260824_165154.jpg,VALID,2026-08-24T13:51:55.127Z,1.127,1,43.0,42.75,40.0,32.9,58.7,32.97,42.9,998.6,12785
2026-08-24T13:52:24.000Z,317.0,series/20260824_163924/20260824_165224.jpg,VALID,2026-08-24T13:52:25.140Z,1.140,1,43.25,42.75,40.25,32.9,58.6,33.12,42.6,998.6,12815
2026-08-24T13:52:54.000Z,317.0,series/20260824_163924/20260824_165254.jpg,VALID,2026-08-24T13:52:55.151Z,1.151,1,43.25,43.0,40.5,32.9,58.6,33.05,42.6,998.6,12845
2026-08-24T13:53:24.000Z,316.0,series/20260824_163924/20260824_165324.jpg,VALID,2026-08-24T13:53:25.159Z,1.159,1,43.5,43.25,40.5,32.8,58.5,33.36,42.31,998.6,12875
2026-08-24T13:53:54.000Z,315.0,series/20260824_163924/20260824_165354.jpg,VALID,2026-08-24T13:53:55.172Z,1.172,1,43.5,43.5,40.25,32.8,58.4,33.41,41.86,998.6,12905
2026-08-24T13:54:24.000Z,314.0,series/20260824_163924/20260824_165424.jpg,VALID,2026-08-24T13:54:25.186Z,1.186,1,43.75,43.5,40.25,32.8,58.4,33.4,41.86,998.6,12935
2026-08-24T13:54:54.000Z,312.0,series/20260824_163924/20260824_165454.jpg,VALID,2026-08-24T13:54:55.196Z,1.196,1,43.75,43.5,40.5,32.5,58.0,33.13,42.37,998.6,12965
2026-08-24T13:55:24.000Z,310.0,series/20260824_163924/20260824_165524.jpg,VALID,2026-08-24T13:55:25.207Z,1.207,1,44.0,43.75,40.75,32.3,57.5,33.06,42.79,998.7,12995
2026-08-24T13:55:54.000Z,306.0,series/20260824_163924/20260824_165554.jpg,VALID,2026-08-24T13:55:55.220Z,1.220,1,44.0,43.75,40.5,32.0,57.1,31.66,44.11,998.7,13025
2026-08-24T13:56:24.000Z,305.0,series/20260824_163924/20260824_165624.jpg,VALID,2026-08-24T13:56:25.230Z,1.230,1,44.0,43.75,40.5,32.0,57.0,31.16,44.96,998.6,13055
2026-08-24T13:56:54.000Z,303.0,series/20260824_163924/20260824_165654.jpg,VALID,2026-08-24T13:56:55.239Z,1.239,1,43.75,43.75,40.25,31.9,56.8,31.47,44.76,998.6,13085
2026-08-24T13:57:24.000Z,303.0,series/20260824_163924/20260824_165724.jpg,VALID,2026-08-24T13:57:25.252Z,1.252,1,43.75,43.75,40.25,31.8,56.7,31.99,44.51,998.7,13115
2026-08-24T13:57:54.000Z,300.0,series/20260824_163924/20260824_165754.jpg,VALID,2026-08-24T13:57:55.263Z,1.263,1,43.5,43.5,40.25,31.6,56.3,31.84,44.56,998.7,13145
2026-08-24T13:58:24.000Z,299.0,series/20260824_163924/20260824_165824.jpg,VALID,2026-08-24T13:58:25.276Z,1.276,1,43.5,43.5,40.0,31.4,56.1,31.49,44.5,998.7,13175
2026-08-24T13:58:54.000Z,298.0,series/20260824_163924/20260824_165854.jpg,VALID,2026-08-24T13:58:55.286Z,1.286,1,43.25,43.5,40.0,31.4,55.9,31.28,44.9,998.6,13205
2026-08-24T13:59:24.000Z,297.0,series/20260824_163924/20260824_165924.jpg,VALID,2026-08-24T13:59:25.297Z,1.297,1,43.0,43.25,40.25,31.3,55.8,31.84,44.13,998.6,13235
2026-08-24T13:59:54.000Z,296.0,series/20260824_163924/20260824_165954.jpg,VALID,2026-08-24T13:59:55.328Z,1.328,1,43.0,43.25,40.25,31.2,55.7,32.15,43.92,998.7,13265
2026-08-24T14:00:24.000Z,294.0,series/20260824_163924/20260824_170024.jpg,VALID,2026-08-24T14:00:25.530Z,1.530,1,43.0,43.25,40.25,31.0,55.4,32.3,43.84,998.7,13295
2026-08-24T14:00:54.000Z,292.0,series/20260824_163924/20260824_170054.jpg,VALID,2026-08-24T14:00:55.335Z,1.335,1,42.75,43.0,40.5,30.8,55.0,32.83,43.27,998.7,13320
2026-08-24T14:01:24.000Z,290.0,series/20260824_163924/20260824_170124.jpg,VALID,2026-08-24T14:01:25.347Z,1.347,1,42.75,43.0,40.25,30.8,54.9,32.71,43.04,998.7,13350
2026-08-24T14:01:55.000Z,289.0,series/20260824_163924/20260824_170155.jpg,VALID,2026-08-24T14:01:55.359Z,0.359,1,42.75,43.0,40.25,30.6,54.6,32.49,42.87,998.6,13380
2026-08-24T14:02:25.000Z,287.0,series/20260824_163924/20260824_170225.jpg,VALID,2026-08-24T14:02:25.367Z,0.367,1,42.75,43.0,40.25,30.5,54.4,32.83,43.15,998.7,13410
2026-08-24T14:02:55.000Z,284.0,series/20260824_163924/20260824_170255.jpg,VALID,2026-08-24T14:02:55.379Z,0.379,1,42.75,43.0,40.5,30.2,54.0,32.54,43.45,998.6,13440
2026-08-24T14:03:25.000Z,282.0,series/20260824_163924/20260824_170325.jpg,VALID,2026-08-24T14:03:25.400Z,0.400,1,42.75,43.0,40.25,30.0,53.7,32.41,43.72,998.7,13470
2026-08-24T14:03:55.000Z,280.0,series/20260824_163924/20260824_170355.jpg,VALID,2026-08-24T14:03:55.407Z,0.407,1,42.75,43.0,40.5,29.9,53.5,32.79,43.25,998.7,13500
2026-08-24T14:04:25.000Z,278.0,series/20260824_163924/20260824_170425.jpg,VALID,2026-08-24T14:04:25.415Z,0.415,1,42.75,43.0,40.5,29.8,53.2,32.24,43.47,998.6,13530
2026-08-24T14:04:55.000Z,276.0,series/20260824_163924/20260824_170455.jpg,VALID,2026-08-24T14:04:55.424Z,0.424,1,42.75,43.0,40.0,29.5,52.9,32.08,43.29,998.6,13560
2026-08-24T14:05:25.000Z,274.0,series/20260824_163924/20260824_170525.jpg,VALID,2026-08-24T14:05:25.435Z,0.435,1,42.5,43.0,39.75,29.3,52.4,31.83,43.87,998.6,13590
2026-08-24T14:05:55.000Z,269.0,series/20260824_163924/20260824_170555.jpg,VALID,2026-08-24T14:05:55.447Z,0.447,1,42.5,42.75,39.5,28.8,51.5,31.97,43.54,998.6,13620
2026-08-24T14:06:25.000Z,267.0,series/20260824_163924/20260824_170625.jpg,VALID,2026-08-24T14:06:25.460Z,0.460,1,42.25,42.5,39.25,38.09,51.2,32.0,43.66,998.6,13650
2026-08-24T14:06:55.000Z,265.0,series/20260824_163924/20260824_170655.jpg,VALID,2026-08-24T14:06:55.473Z,0.473,1,42.0,42.25,39.25,48.6,50.8,32.28,43.29,998.6,13680
2026-08-24T14:07:25.000Z,265.0,series/20260824_163924/20260824_170725.jpg,VALID,2026-08-24T14:07:25.480Z,0.480,1,41.75,42.25,39.0,48.6,50.9,32.18,43.29,998.7,13710
2026-08-24T14:07:55.000Z,263.0,series/20260824_163924/20260824_170755.jpg,VALID,2026-08-24T14:07:55.491Z,0.491,1,41.75,42.0,39.25,48.5,50.7,31.86,43.66,998.7,13740
2026-08-24T14:08:25.000Z,264.0,series/20260824_163924/20260824_170825.jpg,VALID,2026-08-24T14:08:25.502Z,0.502,1,41.5,41.75,39.25,48.4,50.7,32.05,43.66,998.7,13770
2026-08-24T14:08:55.000Z,261.0,series/20260824_163924/20260824_170855.jpg,VALID,2026-08-24T14:08:55.512Z,0.512,1,41.5,41.75,39.75,48.2,50.5,32.5,43.09,998.7,13800
2026-08-24T14:09:25.000Z,159.0,series/20260824_163924/20260824_170925.jpg,VALID,2026-08-24T14:09:25.526Z,0.526,1,41.5,41.75,39.5,48.1,50.3,32.38,43.17,998.7,13830
2026-08-24T14:09:55.000Z,158.0,series/20260824_163924/20260824_170955.jpg,VALID,2026-08-24T14:09:55.539Z,0.539,1,41.5,41.75,39.25,47.8,50.0,32.64,43.27,998.7,13860
2026-08-24T14:10:25.000Z,255.0,series/20260824_163924/20260824_171025.jpg,VALID,2026-08-24T14:10:25.553Z,0.553,1,41.5,41.75,39.5,47.5,49.9,32.81,42.74,998.6,13890
2026-08-24T14:10:55.000Z,254.0,series/20260824_163924/20260824_171055.jpg,VALID,2026-08-24T14:10:55.564Z,0.564,1,41.5,41.75,39.25,47.4,49.8,32.82,42.69,998.7,13920
2026-08-24T14:11:25.000Z,253.0,series/20260824_163924/20260824_171125.jpg,VALID,2026-08-24T14:11:25.575Z,0.575,1,41.5,41.75,39.25,47.3,49.6,32.22,43.36,998.6,13950
2026-08-24T14:11:55.000Z,253.0,series/20260824_163924/20260824_171155.jpg,VALID,2026-08-24T14:11:55.588Z,0.588,1,41.25,41.75,39.25,47.2,49.4,31.77,44.25,998.7,13980
2026-08-24T14:12:25.000Z,251.0,series/20260824_163924/20260824_171225.jpg,VALID,2026-08-24T14:12:25.599Z,0.599,1,41.25,41.5,39.25,46.9,49.2,31.59,44.33,998.7,14010
2026-08-24T14:12:55.000Z,249.0,series/20260824_163924/20260824_171255.jpg,VALID,2026-08-24T14:12:55.613Z,0.613,1,41.0,41.5,39.25,46.9,49.1,30.89,45.17,998.7,14040
2026-08-24T14:13:25.000Z,247.0,series/20260824_163924/20260824_171325.jpg,VALID,2026-08-24T14:13:25.779Z,0.779,1,41.0,41.25,39.25,46.7,48.9,30.8,45.57,998.7,14070
2026-08-24T14:13:55.000Z,246.0,series/20260824_163924/20260824_171355.jpg,VALID,2026-08-24T14:13:55.637Z,0.637,1,40.75,41.25,38.75,46.5,48.8,31.18,45.12,998.7,14095
2026-08-24T14:14:25.000Z,245.0,series/20260824_163924/20260824_171425.jpg,VALID,2026-08-24T14:14:25.648Z,0.648,1,40.75,41.0,38.75,46.3,48.5,31.54,44.58,998.7,14125
2026-08-24T14:14:55.000Z,242.0,series/20260824_163924/20260824_171455.jpg,VALID,2026-08-24T14:14:55.662Z,0.662,1,40.5,41.0,38.5,46.1,48.3,31.77,44.19,998.7,14155
2026-08-24T14:15:25.000Z,241.0,series/20260824_163924/20260824_171525.jpg,VALID,2026-08-24T14:15:25.669Z,0.669,1,40.5,41.0,38.0,45.7,47.9,32.04,44.27,998.7,14185
